100 1000000000000
1 69125 128701
1 37377 872033
1 898465 781419
1 872287 189454
1 211560 754125
1 529552 860519
1 224018 753856
1 656361 556448
1 878464 90897
1 835138 281474
1 815961 212683
1 919481 747680
1 325497 173950
1 298985 52062
1 46169 567630
1 901604 124049
1 386099 745843
1 85803 864775
1 500063 585049
1 783047 549323
1 797940 744841
1 962385 461722
1 851910 885972
1 334205 123390
1 784388 805799
1 246612 790749
1 645377 515465
1 93469 583929
1 740342 219940
1 201959 60293
1 25846 977
1 67438 746667
1 168094 618433
1 704800 931392
1 422948 331220
1 946005 101730
1 425766 523105
1 204662 872035
1 960485 169815
1 382001 719848
1 70423 809798
1 786006 678192
1 609571 869846
1 87680 965408
1 911457 762876
1 889498 598451
1 36408 27134
1 719252 140328
1 691311 289514
1 352463 694529
2 496087 981163
2 504232 436826
2 654060 477606
2 548215 562609
2 503210 247678
2 570253 52830
2 467532 934712
2 25382 686042
2 544986 245323
2 277818 545798
2 963635 390086
2 462861 921380
2 246282 594877
2 197725 843329
2 164488 944392
2 771286 957770
2 698651 396187
2 597730 705411
2 585639 26831
2 99567 446844
2 754651 716063
2 978780 685338
2 466769 622013
2 955383 718961
2 83577 119939
2 512838 208633
2 655092 260624
2 27774 261660
2 789562 681836
2 673954 839627
2 916527 424062
2 760845 348594
2 519691 796088
2 979877 922790
2 742278 757230
2 782448 528539
2 555125 324332
2 779342 568113
2 314729 19365
2 640976 217086
2 752718 624775
2 972531 614361
2 371962 283589
2 936481 793025
2 451844 358431
2 54847 152054
2 674440 559820
2 322984 954508
2 892300 655344
2 258143 968122
